PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Id :  114363509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Date:  1/2/2020 to 1/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment Due Date : ,,,,2/10/2020
Settlement Currency : ,,,,USD,,Transaction Currency : ,,,,,,,NGN,,,,,,,,,,,,,,,,,,,
,,,,,,,Tran,Orig,,Rcv,,,,,,,FX,,,,,,,,,Fx Rev,,,Commission,,,
Tran Date,Tran Id,,,Ref #,,Prod,Type,Cntry,,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,,Fee Amt,,,,Share Amt,,,Amt,,,Total
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,(0.40),,,,(3.18),,,(3.58)
1/29/2020,2273839647,,,51753816,,MT,REC,CYP,,NGA,,391.56500000000,,,,1/27/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,7.05,,mk,7.05
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
1/29/2020,2273839647,,,51753816,,MT,REC,CYP,,NGA,,391.56500000000,,,,1/27/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,56.39,,mk,56.39
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,0.00,,,,0.16,,,0.16
1/29/2020,2274075174,,,34644321,,MT,REC,USA,,NGA,,355.00000000000,,,,1/27/2020,0.45,,trn,0.00,"2,840.00",,,,(57.51),,,,(511.20),,,(568.71)
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,(0.16),,,,(1.44),,,(1.60)
1/29/2020,2274075174,,,34644321,,MT,REC,USA,,NGA,,355.00000000000,,,,1/27/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,2.88,,mk,2.88
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
1/29/2020,2274075174,,,34644321,,MT,REC,USA,,NGA,,355.00000000000,,,,1/27/2020,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,1/29/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
100711693 - 100712850,,,,,,,,,Account Total:,,,,,Receive,,,,5,,0.00,0.00,,,,(278.35),,,,"(2,700.42)",,"(2,978.77)",
,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,(0.79),,,,(7.61),,(8.40),
,,,,,,,,,,,,,,,,,,,,,,,,,,,Account Net Due : ,,,(8.40),,
Account Number : ,,,100711693 - 100712851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #004 - KANO  - KANO BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,653999,,,,,Store Number : ,,,,004,,,,,,,,,,,,,,,,,,
1/6/2020,2266941453,,,94381682,,MT,REC,BEL,,NGA,,395.22150000000,,,,1/3/2020,2.00,,trn,0.00,"3,912.69",,,,(416.34),,,,(704.28),,,"(1,120.62)"
,,,,,,,,,,,,.00281690141,,,,1/6/2020,,,stl,0.00,0.00,,,,(1.17),,,,(1.98),,,(3.15)
1/6/2020,2266941453,,,94381682,,MT,REC,BEL,,NGA,,395.22150000000,,,,1/3/2020,2.00,,trn,0.00,0.00,,,,0.00,,,,20.82,,mk,20.82
,,,,,,,,,,,,.00281690141,,,,1/6/2020,,,stl,0.00,0.00,,,,0.00,,,,0.06,,,0.06
1/6/2020,2266941453,,,94381682,,MT,REC,BEL,,NGA,,395.22150000000,,,,1/3/2020,2.00,,trn,0.00,0.00,,,,0.00,,,,35.21,,mk,35.21
,,,,,,,,,,,,.00281690141,,,,1/6/2020,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
1/8/2020,2267707376,,,27468062,,MT,REC,OMN,,NGA,,922.00607744680,,,,1/6/2020,1.20,,trn,0.00,"1,844.01",,,,(154.90),,,,(331.92),,,(486.82)
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,(0.44),,,,(0.93),,,(1.37)
1/8/2020,2267707376,,,27468062,,MT,REC,OMN,,NGA,,922.00607744680,,,,1/6/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,16.60,,mk,16.60
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.05,,,0.05
1/8/2020,2267707376,,,27468062,,MT,REC,OMN,,NGA,,922.00607744680,,,,1/6/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,7.74,,mk,7.74
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
1/8/2020,2267708089,,,66940606,,MT,REC,CMR,,NGA,,.60391832845,,,,1/6/2020,0.60,,trn,0.00,"23,250.86",,,,(724.70),,,,"(4,185.15)",,,"(4,909.85)"
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,(2.04),,,,(11.79),,,(13.83)
1/8/2020,2267708089,,,66940606,,MT,REC,CMR,,NGA,,.60391832845,,,,1/6/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,209.26,,mk,209.26
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.59,,,0.59
1/8/2020,2267708089,,,66940606,,MT,REC,CMR,,NGA,,.60391832845,,,,1/6/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,36.24,,mk,36.24
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
1/8/2020,2267711959,,,23515437,,MT,REC,CMR,,NGA,,.60391832845,,,,1/6/2020,0.60,,trn,0.00,"23,250.86",,,,(724.70),,,,"(4,185.15)",,,"(4,909.85)"
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,(2.04),,,,(11.79),,,(13.83)
1/8/2020,2267711959,,,23515437,,MT,REC,CMR,,NGA,,.60391832845,,,,1/6/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,36.24,,mk,36.24
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
1/8/2020,2267711959,,,23515437,,MT,REC,CMR,,NGA,,.60391832845,,,,1/6/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,209.26,,mk,209.26
,,,,,,,,,,,,.00281690141,,,,1/8/2020,,,stl,0.00,0.00,,,,0.00,,,,0.59,,,0.59
1/10/2020,2266856789,,,59317927,,MT,REC,GBR,,NGA,,466.43450000000,,,,1/3/2020,1.50,,trn,0.00,"4,664.35",,,,(153.92),,,,(839.58),,,(993.50)
,,,,,,,,,,,,.00281690141,,,,1/10/2020,,,stl,0.00,0.00,,,,(0.43),,,,(2.37),,,(2.80)
1/10/2020,2266856789,,,59317927,,MT,REC,GBR,,NGA,,466.43450000000,,,,1/3/2020,1.50,,trn,0.00,0.00,,,,0.00,,,,7.70,,mk,7.70
,,,,,,,,,,,,.00281690141,,,,1/10/2020,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
1/10/2020,2266856789,,,59317927,,MT,REC,GBR,,NGA,,466.43450000000,,,,1/3/2020,1.50,,trn,0.00,0.00,,,,0.00,,,,41.98,,mk,41.98
,,,,,,,,,,,,.00281690141,,,,1/10/2020,,,stl,0.00,0.00,,,,0.00,,,,0.12,,,0.12
1/13/2020,2269077777,,,94563275,,MT,REC,SLE,,NGA,,.03675602550,,,,1/10/2020,1.10,,trn,0.00,"2,572.92",,,,(116.39),,,,(463.13),,,(579.52)
,,,,,,,,,,,,.00281690141,,,,1/13/2020,,,stl,0.00,0.00,,,,(0.33),,,,(1.30),,,(1.63)
1/13/2020,2269077777,,,94563275,,MT,REC,SLE,,NGA,,.03675602550,,,,1/10/2020,1.10,,trn,0.00,0.00,,,,0.00,,,,23.16,,mk,23.16
,,,,,,,,,,,,.00281690141,,,,1/13/2020,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
1/13/2020,2269077777,,,94563275,,MT,REC,SLE,,NGA,,.03675602550,,,,1/10/2020,1.10,,trn,0.00,0.00,,,,0.00,,,,5.82,,mk,5.82
,,,,,,,,,,,,.00281690141,,,,1/13/2020,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
1/14/2020,2269323769,,,17756377,,MT,REC,CMR,,NGA,,.60180767240,,,,1/11/2020,0.60,,trn,0.00,"23,169.60",,,,(722.17),,,,"(4,170.53)",,,"(4,892.70)"
,,,,,,,,,,,,.00281690141,,,,1/14/2020,,,stl,0.00,0.00,,,,(2.03),,,,(11.75),,,(13.78)
1/14/2020,2269323769,,,17756377,,MT,REC,CMR,,NGA,,.60180767240,,,,1/11/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,208.53,,mk,208.53
,,,,,,,,,,,,.00281690141,,,,1/14/2020,,,stl,0.00,0.00,,,,0.00,,,,0.59,,,0.59
1/14/2020,2269323769,,,17756377,,MT,REC,CMR,,NGA,,.60180767240,,,,1/11/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,36.11,,mk,36.11
,,,,,,,,,,,,.00281690141,,,,1/14/2020,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
1/15/2020,2268052694,,,81841747,,MT,REC,OMN,,NGA,,922.00607744680,,,,1/7/2020,1.20,,trn,0.00,"1,844.01",,,,(438.14),,,,(331.92),,,(770.06)
,,,,,,,,,,,,.00281690141,,,,1/15/2020,,,stl,0.00,0.00,,,,(1.23),,,,(0.93),,,(2.16)
1/15/2020,2268052694,,,81841747,,MT,REC,OMN,,NGA,,922.00607744680,,,,1/7/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,21.91,,mk,21.91
,,,,,,,,,,,,.00281690141,,,,1/15/2020,,,stl,0.00,0.00,,,,0.00,,,,0.06,,,0.06
1/15/2020,2268052694,,,81841747,,MT,REC,OMN,,NGA,,922.00607744680,,,,1/7/2020,1.20,,trn,0.00,0.00,,,,0.00,,,,16.60,,mk,16.60
,,,,,,,,,,,,.00281690141,,,,1/15/2020,,,stl,0.00,0.00,,,,0.00,,,,0.05,,,0.05
1/15/2020,2269326609,,,89097787,,MT,REC,CMR,,NGA,,.60180767240,,,,1/11/2020,0.60,,trn,0.00,"23,169.60",,,,(722.17),,,,"(4,170.53)",,,"(4,892.70)"
,,,,,,,,,,,,.00281690141,,,,1/15/2020,,,stl,0.00,0.00,,,,(2.03),,,,(11.75),,,(13.78)
1/15/2020,2269326609,,,89097787,,MT,REC,CMR,,NGA,,.60180767240,,,,1/11/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,36.11,,mk,36.11
,,,,,,,,,,,,.00281690141,,,,1/15/2020,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
1/15/2020,2269326609,,,89097787,,MT,REC,CMR,,NGA,,.60180767240,,,,1/11/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,208.53,,mk,208.53
,,,,,,,,,,,,.00281690141,,,,1/15/2020,,,stl,0.00,0.00,,,,0.00,,,,0.59,,,0.59
1/17/2020,2268968797,,,96540042,,MT,REC,CMR,,NGA,,.60099588325,,,,1/10/2020,0.60,,trn,0.00,"23,138.34",,,,(721.20),,,,"(4,164.90)",,,"(4,886.10)"
,,,,,,,,,,,,.00281690141,,,,1/17/2020,,,stl,0.00,0.00,,,,(2.03),,,,(11.73),,,(13.76)
1/17/2020,2268968797,,,96540042,,MT,REC,CMR,,NGA,,.60099588325,,,,1/10/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,36.06,,mk,36.06
,,,,,,,,,,,,.00281690141,,,,1/17/2020,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
1/17/2020,2268968797,,,96540042,,MT,REC,CMR,,NGA,,.60099588325,,,,1/10/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,208.25,,mk,208.25
,,,,,,,,,,,,.00281690141,,,,1/17/2020,,,stl,0.00,0.00,,,,0.00,,,,0.59,,,0.59
1/21/2020,2271883684,,,51501166,,MT,REC,CMR,,NGA,,.60018409055,,,,1/20/2020,0.60,,trn,0.00,"23,107.09",,,,(720.22),,,,"(4,159.28)",,,"(4,879.50)"
,,,,,,,,,,,,.00281690141,,,,1/21/2020,,,stl,0.00,0.00,,,,(2.03),,,,(11.72),,,(13.75)
1/21/2020,2271883684,,,51501166,,MT,REC,CMR,,NGA,,.60018409055,,,,1/20/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,207.96,,mk,207.96
,,,,,,,,,,,,.00281690141,,,,1/21/2020,,,stl,0.00,0.00,,,,0.00,,,,0.59,,,0.59
1/21/2020,2271883684,,,51501166,,MT,REC,CMR,,NGA,,.60018409055,,,,1/20/2020,0.60,,trn,0.00,0.00,,,,0.00,,,,36.01,,mk,36.01
,,,,,,,,,,,,.00281690141,,,,1/21/2020,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
