EntryID	setDateUSYear	setDateUSMonth	setDateUSDay	setDateLOCYear	setDateLOCMonth	setDateLOCDay	RepDateYear	RepDateMonth	RepDateDay	Direction	Account	LocationName	Location_ID	Status	LOCCurrencyCode	ShareOfChargesUSD	ShareOfFXUSD	ShareOfChargesLOC	ShareOfFXLOC	SubAgentCommFXUSD	SubAgentCommChargesUSD	SubAgentCommFXLOC	SubAgentCommChargesLOC	SendPayIndicator	MTCN
796215	2019	8	27	2019	8	27	2019	8	27	I	ADH150294	FCMB - #047 -  YENEGOA BRANCH	68	S	NGN	2	0	710	0	0	0	0	0	P	7041448298
796209	2019	8	27	2019	8	27	2019	8	27	I	ADH150205	FCMB - #030 - LAGOS  - ALAGBADO BRANCH	51	S	NGN	0.64	0	227.2	0	0	0	0	0	P	9265964210
796201	2019	8	27	2019	8	27	2019	8	27	I	ADH150052	FCMB - #034 - AJAH - AJAH BRANCH	29	S	NGN	2.57	0	912.35	0	0	0	0	0	P	2415760848
796245	2019	8	27	2019	8	27	2019	8	27	I	ADH150524	FCMB - #033 - OTA - OTTA BRANCH	58	S	NGN	3	0	1065	0	0	0	0	0	P	7947165328
796318	2019	8	27	2019	8	27	2019	8	27	I	ADH151196	FCMB - #114 - AGEGE - AGEGE BRANCH	140	S	NGN	1.53	0	543.15	0	0	0	0	0	P	4451861458
796351	2019	8	27	2019	8	27	2019	8	27	I	ADH152186	FCMB - #245 - EKWULOBIA - EKWULOBIA BRAN	233	S	NGN	1.8	0	639	0	0	0	0	0	P	7570468106
796235	2019	8	27	2019	8	27	2019	8	27	I	ADH150513	FCMB - #029 - IBADAN - IBADAN BRANCH	47	S	NGN	4.41	0	1565.55	0	0	0	0	0	P	8035990216
796404	2019	8	27	2019	8	27	2019	8	27	I	ADH153154	UNKNOWN	-1	S	NGN	1.8	0	639	0	0	0	0	0	P	3610634527
796217	2019	8	27	2019	8	27	2019	8	27	I	ADH150360	FCMB - #009 - BENIN CITY - BENIN BRANCH	13	S	NGN	0.81	0	287.55	0	0	0	0	0	P	5648432160
796263	2019	8	27	2019	8	27	2019	8	27	I	ADH150623	FCMB - #072 - Warri Effurun	96	S	NGN	1.8	0	639	0	0	0	0	0	P	9505352940
796222	2019	8	27	2019	8	27	2019	8	27	I	ADH150403	FCMB - #042 - UYO - ORON ROAD BRANCH UYO	88	S	NGN	1.8	0	639	0	0	0	0	0	P	2100309028
796321	2019	8	27	2019	8	27	2019	8	27	I	ADH151196	FCMB - #114 - AGEGE - AGEGE BRANCH	140	S	NGN	1.8	0	639	0	0	0	0	0	P	8594746491
796364	2019	8	27	2019	8	27	2019	8	27	I	ADH152317	FCMB - #174 - AMUWO-ODOFIN - FESTAC TOWN	196	S	NGN	1.8	0	639	0	0	0	0	0	P	5092466402
796410	2019	8	27	2019	8	27	2019	8	27	I	ADH471010	UNKNOWN	-1	S	NGN	1.8	0	639	0	0	0	0	0	P	2266126780
