PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Send  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,USD,,,Transaction Currency : ,,,,,,NGN,,,,,,,,,,,,,,,
,,,,,,,,,Orig,Rcv,,,,,,,FX,,,,,,,Fx Rev,,,,
Tran Date,,Tran Id,,,,Ref #,,Prod,Cntry,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,Fee Amt,,,Share Amt,Commission Amt,,,Total
,,,,,,,,,,,,,,,,,,,,"1,042.21",59.43,,(0.61),,,(10.14),(10.75),
Account Number : ,,,100711693 - 100712906,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #040 - EKET - EKET BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654034,,,,,Store Number : ,,,,040,,,,,,,,,,,,,,
12/2/2019,,2256413857,,,,86019587,,MT,NGA,CHN,,.00281690141,,,,12/2/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"(2,223.00)",,"(2,223.00)"
,,,,,,,,,,,,.00281690141,,,,12/2/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
12/2/2019,,2256413857,,,,86019587,,MT,NGA,CHN,,.00281690141,,,,12/2/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,12/2/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"(2,111.85)","(2,111.85)",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
Account   100711693 - 100712906 Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"(2,111.85)","(2,111.85)",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
Account Number : ,,,100711693 - 100712911,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #045 - ABA - FAULKS ROAD BRANCH A,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654039,,,,,Store Number : ,,,,045,,,,,,,,,,,,,,
12/6/2019,,2257896871,,,,66862923,,MT,NGA,GEO,,.00281690141,,,,12/6/2019,2.00,,trn,"37,000.00","1,000.00",,(148.00),,,(180.00),,(328.00)
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,104.23,2.82,,(0.42),,,(0.51),,(0.93)
12/6/2019,,2257896871,,,,66862923,,MT,NGA,GEO,,.00281690141,,,,12/6/2019,2.00,,trn,0.00,0.00,,0.00,,,9.00,mk,9.00
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/6/2019,,2257896871,,,,66862923,,MT,NGA,GEO,,.00281690141,,,,12/6/2019,2.00,,trn,0.00,0.00,,0.00,,,7.40,mk,7.40
,,,,,,,,,,,,.00281690141,,,,12/6/2019,,,stl,0.00,0.00,,0.00,,,0.02,,0.02
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"37,000.00","1,000.00",,(148.00),,,(163.60),(311.60),
,,,,,,,,,,,,,,,,,,,,104.23,2.82,,(0.42),,,(0.46),(0.88),
12/10/2019,,2259086806,,,,83342722,,MT,NGA,USA,,.00281690141,,,,12/10/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"(2,223.00)",,"(2,223.00)"
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
12/10/2019,,2259086806,,,,83342722,,MT,NGA,USA,,.00281690141,,,,12/10/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"(2,111.85)","(2,111.85)",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
12/12/2019,,2259748008,,,,46970430,,MT,NGA,CHN,,.00281690141,,,,12/12/2019,,,trn,"50,765.00","5,500.00",,0.00,,,(990.00),,(990.00)
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,143.00,15.49,,0.00,,,(2.79),,(2.79)
12/12/2019,,2259748008,,,,46970430,,MT,NGA,CHN,,.00281690141,,,,12/12/2019,,,trn,0.00,0.00,,0.00,,,49.50,mk,49.50
,,,,,,,,,,,,.00281690141,,,,12/12/2019,,,stl,0.00,0.00,,0.00,,,0.14,,0.14
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"50,765.00","5,500.00",,0.00,,,(940.50),(940.50),
,,,,,,,,,,,,,,,,,,,,143.00,15.49,,0.00,,,(2.65),(2.65),
12/13/2019,,2260086086,,,,55738047,,MT,NGA,USA,,.00281690141,,,,12/13/2019,,,trn,"355,000.00","12,350.00",,0.00,,,"(2,223.00)",,"(2,223.00)"
,,,,,,,,,,,,.00281690141,,,,12/13/2019,,,stl,"1,000.00",34.79,,0.00,,,(6.26),,(6.26)
12/13/2019,,2260086086,,,,55738047,,MT,NGA,USA,,.00281690141,,,,12/13/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,12/13/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"355,000.00","12,350.00",,0.00,,,"(2,111.85)","(2,111.85)",
,,,,,,,,,,,,,,,,,,,,"1,000.00",34.79,,0.00,,,(5.95),(5.95),
12/24/2019,,2264093638,,,,63225909,,MT,NGA,PHL,,.00281690141,,,,12/24/2019,2.00,,trn,"18,150.00","1,000.00",,(72.60),,,(180.00),,(252.60)
,,,,,,,,,,,,.00281690141,,,,12/24/2019,,,stl,51.13,2.82,,(0.20),,,(0.51),,(0.71)
12/24/2019,,2264093638,,,,63225909,,MT,NGA,PHL,,.00281690141,,,,12/24/2019,2.00,,trn,0.00,0.00,,0.00,,,9.00,mk,9.00
,,,,,,,,,,,,.00281690141,,,,12/24/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/24/2019,,2264093638,,,,63225909,,MT,NGA,PHL,,.00281690141,,,,12/24/2019,2.00,,trn,0.00,0.00,,0.00,,,3.63,mk,3.63
,,,,,,,,,,,,.00281690141,,,,12/24/2019,,,stl,0.00,0.00,,0.00,,,0.01,,0.01
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"18,150.00","1,000.00",,(72.60),,,(167.37),(239.97),
,,,,,,,,,,,,,,,,,,,,51.13,2.82,,(0.20),,,(0.47),(0.67),
12/27/2019,,2264852464,,,,39686289,,MT,NGA,TUN,,.00788140846,,,,12/27/2019,2.00,,trn,"40,000.00","1,000.00",,(160.00),,,(180.00),,(340.00)
,,,,,,,,,,,,.00281690141,,,,12/27/2019,,,stl,112.68,2.82,,(0.45),,,(0.51),,(0.96)
12/27/2019,,2264852464,,,,39686289,,MT,NGA,TUN,,.00788140846,,,,12/27/2019,2.00,,trn,0.00,0.00,,0.00,,,9.00,mk,9.00
,,,,,,,,,,,,.00281690141,,,,12/27/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/27/2019,,2264852464,,,,39686289,,MT,NGA,TUN,,.00788140846,,,,12/27/2019,2.00,,trn,0.00,0.00,,0.00,,,8.00,mk,8.00
,,,,,,,,,,,,.00281690141,,,,12/27/2019,,,stl,0.00,0.00,,0.00,,,0.02,,0.02
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"40,000.00","1,000.00",,(160.00),,,(163.00),(323.00),
,,,,,,,,,,,,,,,,,,,,112.68,2.82,,(0.45),,,(0.46),(0.91),
Account   100711693 - 100712911 Total : ,,,,,,,,,,,,,,,,,,6,,"855,915.00","33,200.00",,(380.60),,,"(5,658.17)","(6,038.77)",
,,,,,,,,,,,,,,,,,,,,"2,411.04",93.53,,(1.07),,,(15.94),(17.01),
Account Number : ,,,100711693 - 100712916,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #050 - ADO EKITI - ADO-EKITI BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654044,,,,,Store Number : ,,,,050,,,,,,,,,,,,,,
12/11/2019,,2259418589,,,,48304339,,MT,NGA,DMA,,.00757239437,,,,12/11/2019,,,trn,"180,000.00","9,500.00",,0.00,,,"(1,710.00)",,"(1,710.00)"
,,,,,,,,,,,,.00281690141,,,,12/11/2019,,,stl,507.04,26.76,,0.00,,,(4.82),,(4.82)
12/11/2019,,2259418589,,,,48304339,,MT,NGA,DMA,,.00757239437,,,,12/11/2019,,,trn,0.00,0.00,,0.00,,,85.50,mk,85.50
,,,,,,,,,,,,.00281690141,,,,12/11/2019,,,stl,0.00,0.00,,0.00,,,0.24,,0.24
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"180,000.00","9,500.00",,0.00,,,"(1,624.50)","(1,624.50)",
,,,,,,,,,,,,,,,,,,,,507.04,26.76,,0.00,,,(4.58),(4.58),
12/30/2019,,2265673392,,,,97262553,,MT,NGA,TUR,,.00281690141,,,,12/30/2019,2.00,,trn,"120,000.00","6,800.00",,(480.00),,,"(1,224.00)",,"(1,704.00)"
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,338.03,19.15,,(1.35),,,(3.45),,(4.80)
12/30/2019,,2265673392,,,,97262553,,MT,NGA,TUR,,.00281690141,,,,12/30/2019,2.00,,trn,0.00,0.00,,0.00,,,61.20,mk,61.20
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,0.00,0.00,,0.00,,,0.17,,0.17
12/30/2019,,2265673392,,,,97262553,,MT,NGA,TUR,,.00281690141,,,,12/30/2019,2.00,,trn,0.00,0.00,,0.00,,,24.00,mk,24.00
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,0.00,0.00,,0.00,,,0.07,,0.07
12/30/2019,,2265781636,,,,24157542,,MT,NGA,UKR,,.00281690141,,,,12/30/2019,2.00,,trn,"70,000.00","1,000.00",,(280.00),,,(180.00),,(460.00)
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,197.18,2.82,,(0.79),,,(0.51),,(1.30)
12/30/2019,,2265781636,,,,24157542,,MT,NGA,UKR,,.00281690141,,,,12/30/2019,2.00,,trn,0.00,0.00,,0.00,,,9.00,mk,9.00
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/30/2019,,2265781636,,,,24157542,,MT,NGA,UKR,,.00281690141,,,,12/30/2019,2.00,,trn,0.00,0.00,,0.00,,,14.00,mk,14.00
,,,,,,,,,,,,.00281690141,,,,12/30/2019,,,stl,0.00,0.00,,0.00,,,0.04,,0.04
Daily Total : ,,,,,,,,,,,,,,,,,,2,,"190,000.00","7,800.00",,(760.00),,,"(1,295.80)","(2,055.80)",
,,,,,,,,,,,,,,,,,,,,535.21,21.97,,(2.14),,,(3.65),(5.79),
Account   100711693 - 100712916 Total : ,,,,,,,,,,,,,,,,,,3,,"370,000.00","17,300.00",,(760.00),,,"(2,920.30)","(3,680.30)",
,,,,,,,,,,,,,,,,,,,,"1,042.25",48.73,,(2.14),,,(8.23),(10.37),
Account Number : ,,,100711693 - 100712920,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,FCMB - #054 - ASABA - ASABA BRANCH,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,654048,,,,,Store Number : ,,,,054,,,,,,,,,,,,,,
12/9/2019,,2258824117,,,,49872944,,MT,NGA,CAN,,.00373436620,,,,12/9/2019,,,trn,"300,000.00","12,350.00",,0.00,,,"(2,223.00)",,"(2,223.00)"
,,,,,,,,,,,,.00281690141,,,,12/9/2019,,,stl,845.07,34.79,,0.00,,,(6.26),,(6.26)
12/9/2019,,2258824117,,,,49872944,,MT,NGA,CAN,,.00373436620,,,,12/9/2019,,,trn,0.00,0.00,,0.00,,,111.15,mk,111.15
,,,,,,,,,,,,.00281690141,,,,12/9/2019,,,stl,0.00,0.00,,0.00,,,0.31,,0.31
Daily Total : ,,,,,,,,,,,,,,,,,,1,,"300,000.00","12,350.00",,0.00,,,"(2,111.85)","(2,111.85)",
,,,,,,,,,,,,,,,,,,,,845.07,34.79,,0.00,,,(5.95),(5.95),
12/10/2019,,2259096722,,,,17492421,,MT,NGA,RUS,,.00281690141,,,,12/10/2019,2.00,,trn,"327,000.00","1,000.00",,"(1,308.00)",,,(180.00),,"(1,488.00)"
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,921.13,2.82,,(3.68),,,(0.51),,(4.19)
12/10/2019,,2259096722,,,,17492421,,MT,NGA,RUS,,.00281690141,,,,12/10/2019,2.00,,trn,0.00,0.00,,0.00,,,9.00,mk,9.00
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,0.00,0.00,,0.00,,,0.03,,0.03
12/10/2019,,2259096722,,,,17492421,,MT,NGA,RUS,,.00281690141,,,,12/10/2019,2.00,,trn,0.00,0.00,,0.00,,,65.40,mk,65.40
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,0.00,0.00,,0.00,,,0.18,,0.18
12/10/2019,,2259170880,,,,51580054,,MT,NGA,CAN,,.00372816902,,,,12/10/2019,,,trn,"100,000.00","6,800.00",,0.00,,,"(1,224.00)",,"(1,224.00)"
,,,,,,,,,,,,.00281690141,,,,12/10/2019,,,stl,281.69,19.15,,0.00,,,(3.45),,(3.45)
12/10/2019,,2259170880,,,,51580054,,MT,NGA,CAN,,.00372816902,,,,12/10/2019,,,trn,0.00,0.00,,0.00,,,61.20,mk,61.20
