,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receive  Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Currency : ,,,,,,USD,,,,Transaction Currency : ,,,,,,,,,,,,,NGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Orig,,,,Rcv,,,,,,,,,,FX,,,,,,,,,,,,,,,,,,,Fx Rev,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tran Date,,,Tran Id,,,,,Ref #,,,Prod,,,Cntry,,,,Cntry,,,FX Rate,,,,FX Date,,,Margin,,,,,,Base Amt,,,,,,Fee Amt,,,,,,,Share Amt,,,,Commission Amt,,,,,,,Total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/13/18,,,2047324822,,,,,59600421,,,MT,,,CMR,,,,NGA,,,.66745449960,,,,03/13/18,,,0.60,,,trn,,,,,"(199,034.93)",,,"14,684.00",,,,,,,(240.28),,,,,,,"(2,643.12)",,,,,"(2,883.40)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/13/18,,,,,,stl,,,,,(560.66),,,0.00,,,,,,,(0.68),,,,,,,(7.45),,,,,(8.13),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/13/18,,,2047324822,,,,,59600421,,,MT,,,CMR,,,,NGA,,,.66745449960,,,,03/13/18,,,0.60,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,12.01,,mk,,,12.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/13/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.03,,,,,0.03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/13/18,,,2047324822,,,,,59600421,,,MT,,,CMR,,,,NGA,,,.66745449960,,,,03/13/18,,,0.60,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,132.16,,mk,,,132.16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/13/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.37,,,,,0.37,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"(199,034.93)",,,,,,"14,684.00",,,,,(240.28),,,,,,,"(2,498.95)",,,,"(2,739.23)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(560.66),,,,,,0.00,,,,,(0.68),,,,,,,(7.05),,,,(7.73),,,
03/28/18,,,2052375727,,,,,62634058,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/27/18,,,1.50,,,trn,,,,,"(104,902.50)",,,"2,836.45",,,,,,,(319.50),,,,,,,(510.56),,,,,(830.06),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/28/18,,,,,,stl,,,,,(295.50),,,0.00,,,,,,,(0.90),,,,,,,(1.44),,,,,(2.34),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/28/18,,,2052375727,,,,,62634058,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/27/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,25.53,,mk,,,25.53,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/28/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/28/18,,,2052375727,,,,,62634058,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,03/27/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,15.98,,mk,,,15.98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/28/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.05,,,,,0.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"(104,902.50)",,,,,,"2,836.45",,,,,(319.50),,,,,,,(469.05),,,,(788.55),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(295.50),,,,,,0.00,,,,,(0.90),,,,,,,(1.32),,,,(2.22),,,
Account   100711693 - 100712926 Total : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,"(334,009.48)",,,,,,"20,356.90",,,,,(651.37),,,,,,,"(3,448.45)",,,,"(4,099.82)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(940.87),,,,,,0.00,,,,,(1.84),,,,,,,(9.73),,,,(11.57),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Number : ,,,,100711693 - 100712927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agent Name : ,,,,,,FCMB - #061 - IKORODU - IKORODU BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legacy ID : ,,,,,,654055,,,,,,,,,Store Number : ,,,,,,,,061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/18,,,2042237034,,,,,72025682,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,02/28/18,,,1.10,,,trn,,,,,"(210,657.00)",,,"4,970.00",,,,,,,(468.60),,,,,,,(894.60),,,,,"(1,363.20)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/01/18,,,,,,stl,,,,,(593.40),,,0.00,,,,,,,(1.32),,,,,,,(2.52),,,,,(3.84),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/18,,,2042237034,,,,,72025682,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,02/28/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,23.43,,mk,,,23.43,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/01/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.07,,,,,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/18,,,2042237034,,,,,72025682,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,02/28/18,,,1.10,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,44.73,,mk,,,44.73,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/01/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.13,,,,,0.13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/18,,,2042316470,,,,,55319086,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,02/28/18,,,1.50,,,trn,,,,,"(218,546.88)",,,"4,970.00",,,,,,,(665.63),,,,,,,(894.60),,,,,"(1,560.23)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/01/18,,,,,,stl,,,,,(615.63),,,0.00,,,,,,,(1.88),,,,,,,(2.52),,,,,(4.40),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/18,,,2042316470,,,,,55319086,,,MT,,,USA,,,,NGA,,,355.00000000000,,,,02/28/18,,,1.50,,,trn,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,44.73,,mk,,,44.73,
,,,,,,,,,,,,,,,,,,,,,.00281690141,,,,03/01/18,,,,,,stl,,,,,0.00,,,0.00,,,,,,,0.00,,,,,,,0.13,,,,,0.13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
