MTCN	TransactionType	Code	PayCountry	RecCountry	Account	Location_ID	LocationName	Direction	Address	LOCCurrencyCode	RecDateUSYear	RecDateUSMonth	RecDateUSDay	RecDateLOCYear	RecDateLOCMonth	RecDateLOCDay	PayDateUSYear	PayDateUSMonth	PayDateUSDay	PayDateLOCYear	PayDateLOCMonth	PayDateLOCDay	SetDateUSYear	SetDateUSMonth	SetDateUSDay	SetDateLOCYear	SetDateLOCMonth	SetDateLOCDay	RepDateYear	RepDateMonth	RepDateDay	RecPayoutRate	PayPayoutRate	RecSettlementRate	PaySettlementRate	ClearPrincipalUSD	ClearChargesUSD	ClearFXUSD	ClearFXREC	ClearPrincipalLOC	ClearChargesLOC	ClearFXLOC	ClearPrincipalPAY	ClearChargesPAY	ClearFXPAY	RecPrincipalUSD	TotalChargesUSD	RecPrincipalLOC	RecCurrencyCode	PayCurrencyCode	RecPrincipalREC	RecPrincipalPAY	TotalChargesREC	TotalChargesPAY	ClearPrincipalREC	ClearChargesREC	TotalChargesLOC	Spread	SendPayIndicator	ProductCode	ProductGroupName	AdjustmentMTCN	AdjustmentReason	AdjustmentType	AdjustmentReasonCode	AdjustmentTypeCode	TxnStatus
3559402984	T	NGN	NIGERIA	MACAO	ADH152757	258	FCMB - #238 - ASABA - ASABA NNEBISI ROAD	I	NNEBISI ROAD 461, Nnebisi Road,{CR}	NGN	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	0.124178064	355	0.124178065	355	-182.36	-4.02	0	0	-64736.2	-1427.1	0	-64736.2	-1427.1	0	186.27	22.35	66125.85	MOP	NGN	1500	66125.85	180	7934.25	-1468.54	-32.37	7934.25	2.1	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
4523538251	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH152351	199	FCMB - #241 - OWERRI - OWERRI 2 BRANCH	I	40 WETHERAL ROAD OWERRI      	NGN	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-487.31	-1.8	0	0	-172996.81	-639	0	-172996.81	-639	0	490.01	9.99	173953.55	USD	NGN	490.01	173953.55	9.99	3546.45	-487.31	-1.8	3546.45	0.55	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
3518893042	T	NGN	NIGERIA	TRINIDAD	ADH150623	96	FCMB - #072 - Warri Effurun	I	69 EFURUN SAPELE ROAD WARRI	NGN	2019	8	23	2019	8	23	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	0.149008998	355	0.149009089	355	-18.1	-3.33	0	0	-6427.13	-1182.15	0	-6427.13	-1182.15	0	22.35	18.52	7934.25	TTD	NGN	150	7934.25	124.28	6574.6	-121.47	-22.35	6574.6	19	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
0717694978	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH150919	116	FCMB - #091 - OKOTA - OKOTA BRANCH	I		NGN	2019	9	15	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-278.46	-1.8	0	0	-98853.3	-639	0	-98853.3	-639	0	280	9.99	99400	USD	NGN	280	99400	9.99	3546.45	-278.46	-1.8	3546.45	0.55	P	IMTR	MTRN		UNKNOWN	UNKNOWN			S
1554043959	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH151196	140	FCMB - #114 - AGEGE - AGEGE BRANCH	I	OLD  ABEOKUTA  EXPRESS ROAD OKO-OBA{CR}	NGN	2019	9	16	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-497.25	-1.8	0	0	-176523.75	-639	0	-176523.75	-639	0	500	9.99	177500	USD	NGN	500	177500	9.99	3546.45	-497.25	-1.8	3546.45	0.55	P	AACS			UNKNOWN	UNKNOWN			S
0464442195	T	NGN	NIGERIA	UNITED KINGDOM	ADH150393	45	FCMB - #008 - WARRI - WARRI BRANCH	I	OKUMAGBA AVENUE	NGN	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1.242599993	355	1.247628554	355	-180.43	-0.65	0	0	-64051.06	-230.75	0	-64051.06	-230.75	0	187.14	3.62	66434.7	GBP	NGN	150	66434.7	2.9	1285.1	-144.62	-0.52	1285.1	3.2	P	AACS			UNKNOWN	UNKNOWN			S
7111021103	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH150919	116	FCMB - #091 - OKOTA - OKOTA BRANCH	I		NGN	2019	9	15	2019	9	15	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-189.22	-0.9	0	0	-67173.1	-319.5	0	-67173.1	-319.5	0	200	5	71000	USD	NGN	200	71000	5	1775	-189.22	-0.9	1775	5.39	P	FTSS			UNKNOWN	UNKNOWN			S
2033090423	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH151240	143	FCMB - #118 - LAGOS - ORILE COKER BRANCH	I		NGN	2019	9	16	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-32.82	-1.8	0	0	-11650.57	-639	0	-11650.57	-639	0	33	9.99	11715	USD	NGN	33	11715	9.99	3546.45	-32.82	-1.8	3546.45	0.55	P	AACS			UNKNOWN	UNKNOWN			S
6816269524	T	NGN	NIGERIA	PORTUGAL	ADH150294	68	FCMB - #047 -  YENEGOA BRANCH	I	181 YENOGOA MBIMA ONAPA	NGN	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1.101699993	355	1.105341987	355	-52.88	-0.55	0	0	-18772.97	-195.25	0	-18772.97	-195.25	0	55.27	3.21	19620.85	EUR	NGN	50	19620.85	2.9	1139.55	-47.84	-0.5	1139.55	4	P	FTSS			UNKNOWN	UNKNOWN			S
6874486130	T	NGN	NIGERIA	UNITED STATES OF AMERICA	ADH150227	11	FCMB - #031 - IKEJA - ALLEN AVENUE BRANC	I		NGN	2019	9	16	2019	9	16	2019	9	17	2019	9	17	2019	9	17	2019	9	17	2019	9	17	1	355	1	355	-298.35	-1.8	0	0	-105914.25	-639	0	-105914.25	-639	0	300	9.99	106500	USD	NGN	300	106500	9.99	3546.45	-298.35	-1.8	3546.45	0.55	P	AACS			UNKNOWN	UNKNOWN			S
